%  u           v           y           k           om          vis
 -6.500E-03   1.504E-05   4.332E-04   1.154E-08   4.263E+03   1.000E-05
 -2.127E-02   1.057E-04   1.365E-03   3.912E-07   6.787E+02   1.000E-05
 -3.902E-02   3.414E-04   2.436E-03   3.352E-06   2.089E+02   1.002E-05
 -5.967E-02   7.372E-04   3.667E-03   1.483E-05   9.583E+01   1.015E-05
 -8.212E-02   1.305E-03   5.084E-03   4.274E-05   5.779E+01   1.074E-05
 -1.041E-01   2.031E-03   6.713E-03   8.566E-05   3.993E+01   1.215E-05
 -1.234E-01   2.868E-03   8.586E-03   1.298E-04   2.843E+01   1.460E-05
 -1.388E-01   3.761E-03   1.074E-02   1.658E-04   2.007E+01   1.838E-05
 -1.502E-01   4.662E-03   1.322E-02   1.945E-04   1.408E+01   2.414E-05
 -1.581E-01   5.537E-03   1.607E-02   2.202E-04   9.992E+00   3.267E-05
 -1.633E-01   6.368E-03   1.934E-02   2.458E-04   7.316E+00   4.452E-05
 -1.664E-01   7.155E-03   2.311E-02   2.720E-04   5.608E+00   5.952E-05
 -1.679E-01   7.903E-03   2.744E-02   2.988E-04   4.531E+00   7.679E-05
 -1.681E-01   8.622E-03   3.243E-02   3.262E-04   3.853E+00   9.519E-05
 -1.671E-01   9.317E-03   3.816E-02   3.549E-04   3.423E+00   1.139E-04
 -1.648E-01   9.987E-03   4.475E-02   3.863E-04   3.142E+00   1.330E-04
 -1.612E-01   1.062E-02   5.233E-02   4.212E-04   2.945E+00   1.530E-04
 -1.562E-01   1.120E-02   6.104E-02   4.597E-04   2.786E+00   1.749E-04
 -1.497E-01   1.170E-02   7.107E-02   5.000E-04   2.635E+00   1.996E-04
 -1.417E-01   1.209E-02   8.259E-02   5.381E-04   2.474E+00   2.274E-04
 -1.323E-01   1.232E-02   9.585E-02   5.684E-04   2.291E+00   2.581E-04
 -1.216E-01   1.237E-02   1.111E-01   5.840E-04   2.082E+00   2.905E-04
 -1.098E-01   1.219E-02   1.286E-01   5.781E-04   1.847E+00   3.232E-04
 -9.719E-02   1.175E-02   1.488E-01   5.455E-04   1.590E+00   3.532E-04
 -8.427E-02   1.104E-02   1.720E-01   4.863E-04   1.326E+00   3.770E-04
 -7.138E-02   1.009E-02   1.986E-01   4.073E-04   1.070E+00   3.909E-04
 -5.886E-02   8.952E-03   2.293E-01   3.199E-04   8.388E-01   3.914E-04
 -4.694E-02   7.717E-03   2.645E-01   2.377E-04   6.470E-01   3.772E-04
 -3.570E-02   6.490E-03   3.051E-01   1.719E-04   5.016E-01   3.520E-04
 -2.496E-02   5.384E-03   3.517E-01   1.266E-04   4.005E-01   3.254E-04
 -1.453E-02   4.498E-03   4.053E-01   1.009E-04   3.378E-01   3.080E-04
 -3.753E-03   4.087E-03   4.670E-01   9.055E-05   3.081E-01   3.035E-04
  7.706E-03   4.779E-03   5.330E-01   1.004E-04   3.334E-01   3.110E-04
  1.903E-02   5.443E-03   5.947E-01   1.181E-04   3.904E-01   3.125E-04
  2.996E-02   6.014E-03   6.483E-01   1.346E-04   4.553E-01   3.055E-04
  4.038E-02   6.588E-03   6.949E-01   1.475E-04   5.203E-01   2.934E-04
  5.022E-02   7.102E-03   7.355E-01   1.567E-04   5.829E-01   2.788E-04
  5.941E-02   7.523E-03   7.707E-01   1.629E-04   6.430E-01   2.633E-04
  6.789E-02   7.840E-03   8.014E-01   1.667E-04   7.010E-01   2.478E-04
  7.560E-02   8.055E-03   8.280E-01   1.688E-04   7.578E-01   2.328E-04
  8.250E-02   8.181E-03   8.512E-01   1.698E-04   8.143E-01   2.185E-04
  8.860E-02   8.228E-03   8.714E-01   1.700E-04   8.713E-01   2.052E-04
  9.393E-02   8.216E-03   8.889E-01   1.699E-04   9.295E-01   1.928E-04
  9.855E-02   8.165E-03   9.042E-01   1.697E-04   9.894E-01   1.816E-04
  1.025E-01   8.082E-03   9.174E-01   1.700E-04   1.052E+00   1.715E-04
  1.060E-01   7.968E-03   9.289E-01   1.715E-04   1.123E+00   1.627E-04
  1.092E-01   7.819E-03   9.390E-01   1.764E-04   1.215E+00   1.552E-04
  1.123E-01   7.621E-03   9.477E-01   1.891E-04   1.361E+00   1.489E-04
  1.158E-01   7.357E-03   9.553E-01   2.191E-04   1.638E+00   1.436E-04
  1.201E-01   7.012E-03   9.618E-01   2.821E-04   2.182E+00   1.389E-04
  1.258E-01   6.577E-03   9.676E-01   3.994E-04   3.203E+00   1.341E-04
  1.336E-01   6.053E-03   9.726E-01   5.940E-04   4.980E+00   1.287E-04
  1.439E-01   5.454E-03   9.769E-01   8.828E-04   7.830E+00   1.222E-04
  1.574E-01   4.805E-03   9.807E-01   1.270E-03   1.210E+01   1.146E-04
  1.744E-01   4.131E-03   9.839E-01   1.747E-03   1.821E+01   1.057E-04
  1.956E-01   3.461E-03   9.868E-01   2.290E-03   2.675E+01   9.550E-05
  2.216E-01   2.817E-03   9.893E-01   2.869E-03   3.868E+01   8.411E-05
  2.534E-01   2.216E-03   9.914E-01   3.444E-03   5.584E+01   7.166E-05
  2.928E-01   1.671E-03   9.933E-01   3.962E-03   8.178E+01   5.843E-05
  3.431E-01   1.188E-03   9.949E-01   4.328E-03   1.243E+02   4.482E-05
  4.107E-01   7.742E-04   9.963E-01   4.329E-03   2.022E+02   3.140E-05
  5.110E-01   4.279E-04   9.976E-01   3.346E-03   3.691E+02   1.907E-05
  6.741E-01   1.439E-04   9.986E-01   7.493E-04   8.394E+02   1.089E-05
  8.914E-01   1.331E-05   9.996E-01   2.338E-05   4.263E+03   1.001E-05

